source_id,kind,market,name,url,host,tier,category,enabled,notes
yt:UCXwRxm0zS0jBNTMOVI6xZJw,youtube,US,KHOU 11,https://www.youtube.com/feeds/videos.xml?channel_id=UCXwRxm0zS0jBNTMOVI6xZJw,youtube.com,B,Local TV,1,
yt:UCCraUx678pr5_5A3PnV36lQ,youtube,US,Justine's Kitchen,https://www.youtube.com/feeds/videos.xml?channel_id=UCCraUx678pr5_5A3PnV36lQ,youtube.com,C,Lifestyle,1,
yt:UCj0TppyxzQWm9JbMg3CP8Rg,youtube,US,CGTN Europe,https://www.youtube.com/feeds/videos.xml?channel_id=UCj0TppyxzQWm9JbMg3CP8Rg,youtube.com,A,International,1,
yt:UC11eiKLw3kKczfPur0iVFvg,youtube,US,Red Bull Cliff Diving,https://www.youtube.com/feeds/videos.xml?channel_id=UC11eiKLw3kKczfPur0iVFvg,youtube.com,C,Lifestyle,1,
yt:UCkH1uDkyuO9sVjSqdqBygOg,youtube,US,CBS LA,https://www.youtube.com/feeds/videos.xml?channel_id=UCkH1uDkyuO9sVjSqdqBygOg,youtube.com,B,Local TV,1,
yt:UCb--64Gl51jIEVE-GLDAVTg,youtube,US,C-SPAN,https://www.youtube.com/feeds/videos.xml?channel_id=UCb--64Gl51jIEVE-GLDAVTg,youtube.com,A,National,1,
yt:UC-3Vp3Qy14wylC9WK8F1zUA,youtube,US,NewsChannel 9 WSYR Syracuse,https://www.youtube.com/feeds/videos.xml?channel_id=UC-3Vp3Qy14wylC9WK8F1zUA,youtube.com,B,Local TV,1,
yt:UCf__y6rezHrnaafvKBrS6nQ,youtube,US,Lodge Cast Iron,https://www.youtube.com/feeds/videos.xml?channel_id=UCf__y6rezHrnaafvKBrS6nQ,youtube.com,C,Lifestyle,1,
yt:UCEKJzGwBMDpmK51v5JIezUw,youtube,US,WKRN News 2,https://www.youtube.com/feeds/videos.xml?channel_id=UCEKJzGwBMDpmK51v5JIezUw,youtube.com,B,Local TV,1,
yt:UCrlIS7z20CnVaCrMvdkig_g,youtube,US,Eyewitness News ABC7NY,https://www.youtube.com/feeds/videos.xml?channel_id=UCrlIS7z20CnVaCrMvdkig_g,youtube.com,B,Local TV,1,
yt:UCgVZ0mrM3liHNhRYC5Mchgg,youtube,US,WPLG Local 10,https://www.youtube.com/feeds/videos.xml?channel_id=UCgVZ0mrM3liHNhRYC5Mchgg,youtube.com,B,Local TV,1,
yt:UCt8HBx7cWdo6dkuj1lsPf2g,youtube,US,KCAU-TV Sioux City,https://www.youtube.com/feeds/videos.xml?channel_id=UCt8HBx7cWdo6dkuj1lsPf2g,youtube.com,B,Local TV,1,
yt:UC1FbPiXx59_ltnFVx7IxWow,youtube,US,FOX Weather,https://www.youtube.com/feeds/videos.xml?channel_id=UC1FbPiXx59_ltnFVx7IxWow,youtube.com,A,National,1,
yt:UCupvZG-5ko_eiXAupbDfxWw,youtube,US,CNN,https://www.youtube.com/feeds/videos.xml?channel_id=UCupvZG-5ko_eiXAupbDfxWw,youtube.com,A,National,1,
yt:UC8-Th83bH_thdKZDJCrn88g,youtube,US,The Tonight Show Starring Jimmy Fallon,https://www.youtube.com/feeds/videos.xml?channel_id=UC8-Th83bH_thdKZDJCrn88g,youtube.com,C,Lifestyle,1,
yt:UCdtXPiqI2cLorKaPrfpKc4g,youtube,US,Entertainment Tonight,https://www.youtube.com/feeds/videos.xml?channel_id=UCdtXPiqI2cLorKaPrfpKc4g,youtube.com,C,Lifestyle,1,
yt:UCVhtkN7-c8mA8GXEoxS4YQw,youtube,US,KTVU FOX 2 San Francisco,https://www.youtube.com/feeds/videos.xml?channel_id=UCVhtkN7-c8mA8GXEoxS4YQw,youtube.com,B,Local TV,1,
yt:UCaxR-D8FjZ-2otbU0_Y2grg,youtube,US,Dawn.com,https://www.youtube.com/feeds/videos.xml?channel_id=UCaxR-D8FjZ-2otbU0_Y2grg,youtube.com,A,International,1,
yt:UChLtXXpo4Ge1ReTEboVvTDg,youtube,US,Global News,https://www.youtube.com/feeds/videos.xml?channel_id=UChLtXXpo4Ge1ReTEboVvTDg,youtube.com,A,International,1,
